Model,Segment,N,Accuracy,Macro-F1
IndicBERT,EN,2761,0.8348424483882652,0.8226558178350246
IndicBERT,HI,0,,
IndicBERT,MIX,5,1.0,1.0
mBERT,EN,2761,0.8478812024628758,0.8404312747095156
mBERT,HI,0,,
mBERT,MIX,5,0.8,0.7619047619047619
MuRIL,EN,2761,0.8721477725461789,0.8632184116997871
MuRIL,HI,0,,
MuRIL,MIX,5,1.0,1.0
XLM-R,EN,2761,0.8844621513944223,0.8754611295312724
XLM-R,HI,0,,
XLM-R,MIX,5,1.0,1.0
GAEn/MGT,EN,2761,0.9206809127127852,0.913756429393804
GAEn/MGT,HI,0,,
GAEn/MGT,MIX,5,1.0,1.0
